UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL101001,25849,733,243,980,26830,6728,158,33714,215906,28026,13025,1280,258237,4799,901,5696,263932,18712,405,283047,173046,40782,12513,1415,227762,3192,649,3842,231602,15080,349,247025,40766,8860,13612,540,63773,742,131,876,64647,3723,104,68470,2141,514,373,3248,6275,105,35,139,6411,689,731,7831,431856,78177,39522,6485,556045,8834,1712,10550,566595,38195,1592,606375,6556,1087,474,146,8269,1487,155,1640,9912,931,24,10868,7339,1609,643,192,9776,1115,473,1587,11366,1203,32,12597,13890,2696,1117,339,18051,2594,629,3226,21277,2137,55,23464,445751,80875,40643,6827,574096,11437,2340,13774,587870,40330,1639,629842,118334,31920,17675,4519,172450,6982,2006,8989,181434,75343,986,257765,991,295,171,1626,3081,49,10,53,3135,485,3372,6986,565075,113088,58487,12974,749625,18459,4355,22821,772445,116156,6000,894591
UCL102001,104,0,0,0,106,10,0,118,2342,249,50,9,2648,21,6,30,2670,112,0,2789,1728,220,39,16,2004,16,5,22,2030,42,6,2076,366,32,34,6,435,0,0,0,439,4,0,450,23,0,0,27,48,0,0,0,48,7,0,57,4464,493,128,58,5143,42,4,49,5193,166,14,5373,32,0,0,0,31,3,0,3,44,0,0,43,52,10,3,0,66,0,0,0,69,5,4,73,83,16,0,0,102,3,0,3,105,12,4,119,4544,512,125,58,5240,52,4,58,5295,172,14,5487,704,91,16,9,819,17,0,15,833,93,0,930,7,0,0,8,9,0,0,0,9,0,16,25,5256,600,145,73,6071,64,8,71,6145,265,31,6443
UCL102002,908,10,3,12,919,130,0,1050,10210,1914,598,58,12786,171,58,229,13012,897,20,13937,14433,3285,936,134,18783,164,39,200,18984,867,27,19880,3261,790,740,44,4831,38,8,43,4876,211,5,5091,204,31,13,181,430,5,0,10,438,36,35,508,28105,6019,2289,417,36836,383,103,479,37313,2014,83,39416,183,66,3,10,268,34,10,40,308,27,0,332,376,109,29,6,521,15,12,27,546,35,0,586,555,175,39,21,786,46,23,68,859,63,0,923,28661,6192,2325,441,37627,426,120,551,38171,2077,83,40335,6333,1491,586,170,8582,200,67,269,8851,1583,36,10478,50,10,0,59,119,0,0,0,119,10,127,260,35049,7691,2912,664,46327,626,186,817,47141,3679,250,51072
UCL102003,116,0,0,3,122,10,0,128,1972,366,72,10,2425,28,8,44,2464,99,0,2565,2764,595,93,21,3473,32,13,46,3516,148,9,3678,317,101,66,5,491,6,5,8,496,21,0,518,36,10,0,27,70,0,3,3,74,10,12,99,5097,1072,232,53,6458,72,31,99,6555,280,26,6860,20,8,0,0,31,3,0,3,40,15,4,52,90,14,0,0,102,3,11,17,120,4,0,130,112,23,3,0,139,13,11,22,159,16,4,178,5209,1098,235,60,6595,83,39,122,6717,299,25,7044,931,192,35,35,1189,22,16,39,1231,198,0,1424,11,0,3,5,20,0,0,0,20,0,41,61,6144,1290,271,99,7804,101,59,165,7967,492,68,8529
UCL102004,1116,13,3,16,1133,140,0,1270,13613,1811,345,80,15839,162,49,220,16057,845,19,16921,20146,2964,453,112,23678,221,52,272,23949,702,38,24685,2567,380,425,23,3401,27,12,44,3445,108,0,3557,163,17,14,126,318,4,0,4,323,19,37,379,36482,5170,1243,344,43236,421,120,540,43773,1673,90,45544,190,46,6,0,240,37,0,41,281,22,0,302,429,70,19,4,525,25,12,35,556,26,0,593,623,118,24,4,767,66,13,78,841,50,0,891,37101,5291,1260,351,44002,487,132,617,44620,1726,96,46439,5404,1009,263,117,6795,186,84,268,7069,1335,31,8431,47,11,3,47,113,5,0,5,111,9,79,207,42554,6316,1529,516,50912,676,211,888,51794,3073,202,55076
UCL102005,958,19,9,26,981,160,6,1144,9908,1562,589,71,12140,150,50,198,12337,664,9,13013,13581,2535,718,85,16921,120,31,150,17070,706,29,17809,3177,588,635,40,4443,30,3,38,4481,142,0,4626,125,32,0,153,312,3,0,8,316,29,45,389,26796,4723,1950,348,33815,306,88,393,34207,1543,84,35832,160,13,23,3,195,36,0,36,233,23,0,261,380,100,16,10,512,24,15,39,545,32,0,579,541,112,40,13,709,60,15,73,779,56,4,834,27337,4833,1993,360,34522,366,97,463,34988,1596,93,36672,5312,1375,512,162,7365,214,85,293,7655,1834,15,9508,26,15,4,48,95,4,0,4,98,8,117,222,32672,6216,2507,575,41972,579,177,762,42741,3442,229,46405
UCL111001,81,0,0,0,81,7,0,89,2052,215,38,4,2307,35,9,46,2351,89,3,2444,2923,359,45,25,3350,28,3,27,3375,96,5,3477,329,32,23,0,386,11,0,11,395,17,0,408,26,0,0,18,46,0,0,0,46,0,7,56,5334,604,101,50,6090,70,13,85,6169,201,16,6388,19,6,0,3,27,5,0,5,35,13,0,42,63,12,3,0,78,0,0,0,80,11,0,87,85,14,3,3,108,8,0,8,115,24,0,132,5420,618,102,51,6193,74,13,92,6282,217,16,6517,957,193,28,28,1209,29,11,41,1249,222,7,1480,0,0,0,14,13,0,0,0,13,0,14,27,6377,817,130,90,7415,110,21,131,7546,443,37,8021
UCL111002,47,0,0,0,48,15,0,64,1770,301,44,11,2124,15,13,36,2154,142,0,2301,2059,489,55,14,2626,24,13,31,2654,112,4,2775,225,39,31,0,290,0,0,0,290,3,0,300,22,10,0,27,60,0,0,0,60,3,4,62,4073,838,130,57,5100,37,22,66,5161,262,10,5437,25,6,4,0,36,15,0,15,51,4,0,59,41,14,0,6,57,14,5,12,68,11,0,85,70,16,4,6,91,28,5,30,121,16,0,139,4140,856,134,55,5191,64,30,94,5287,288,10,5581,659,267,45,48,1018,46,29,78,1093,406,4,1511,9,0,0,6,17,0,0,0,17,3,20,40,4810,1123,178,112,6221,118,59,175,6395,697,36,7128
UCL111003,248,6,0,6,254,28,0,283,3867,458,116,34,4473,61,10,71,4540,228,9,4777,5241,695,129,38,6103,42,16,61,6159,180,8,6356,770,112,122,13,1019,10,3,8,1033,35,0,1066,37,11,0,26,71,0,0,0,71,3,4,79,9913,1275,364,110,11665,108,30,144,11800,451,24,12278,85,14,5,0,105,16,0,16,120,10,0,131,193,15,6,6,216,10,5,11,232,9,0,240,273,30,8,5,322,24,5,28,347,18,0,367,10187,1306,373,113,11985,133,33,167,12149,467,24,12641,2010,385,111,68,2570,75,16,86,2654,368,15,3034,16,10,0,12,44,5,0,5,41,0,31,76,12211,1701,488,192,14592,211,46,259,14849,840,67,15753
UCL112001,19,3,0,3,25,17,0,44,737,105,5,3,852,8,5,14,865,59,3,926,663,170,19,8,863,3,0,5,867,52,11,928,56,27,15,0,98,7,0,7,103,3,0,102,11,0,0,9,20,0,0,0,20,3,0,22,1467,305,41,22,1828,20,5,30,1855,117,7,1985,18,3,3,0,25,0,0,0,29,7,0,31,22,10,0,0,37,0,5,5,41,4,0,41,45,14,3,0,62,0,4,4,65,8,0,71,1507,315,39,22,1890,20,14,31,1923,126,7,2060,284,132,9,3,432,28,16,49,484,256,3,740,0,0,0,4,5,0,0,0,5,0,9,13,1798,454,53,27,2329,45,30,77,2405,378,18,2809
